id,year,driver_id,points
1,1950,1,75
2,1950,2,87
3,1950,3,60
4,1950,4,93
5,1950,5,46
6,1950,6,8
7,1950,7,6
8,1950,8,11
9,1950,9,2
10,1950,10,1
11,1950,15,15
12,1950,14,16
13,1950,16,16
14,1950,17,6
15,1950,13,24
16,1950,18,2
17,1950,19,1
18,1950,20,1
19,1950,30,25
20,1950,31,18
21,1950,32,15
22,1950,33,12
23,1950,34,10
24,1950,35,10
25,1950,36,8
26,1950,37,6
27,1950,38,4
28,1950,39,2
29,1950,40,1
30,1950,25,17
31,1950,12,12
32,1950,22,22
33,1950,68,18
34,1950,24,16
35,1950,69,21
36,1950,64,12
37,1950,11,10
38,1950,77,8
39,1950,78,10
40,1950,79,6
41,1950,65,4
42,1951,1,113
43,1951,63,94
44,1951,4,80
45,1951,5,106
46,1951,78,37
47,1951,24,18
48,1951,3,31
49,1951,13,5
50,1951,64,8
51,1951,80,1
52,1951,6,69
53,1951,14,20
54,1951,83,8
55,1951,8,6
56,1951,7,6
57,1951,15,22
58,1951,75,21
59,1951,27,6
60,1951,20,4
61,1951,69,2
62,1951,36,25
63,1951,87,18
64,1951,88,15
65,1951,44,15
66,1951,89,12
67,1951,90,10
68,1951,55,8
69,1951,91,6
70,1951,42,4
71,1951,35,2
72,1951,92,1
73,1951,71,38
74,1951,81,8
75,1951,67,2
76,1951,2,25
77,1951,25,14
78,1951,11,4
79,1951,70,2
80,1951,106,8
81,1951,102,1
82,1951,107,4
83,1952,5,150
84,1952,4,92
85,1952,64,37
86,1952,110,39
87,1952,111,10
88,1952,112,18
89,1952,113,6
90,1952,8,5
91,1952,114,6
92,1952,22,1
93,1952,6,30
94,1952,66,18
95,1952,84,6
96,1952,115,6
97,1952,103,6
98,1952,124,2
99,1952,71,76
100,1952,128,12
101,1952,129,10
102,1952,15,6
103,1952,130,4
104,1952,126,2
105,1952,69,1
106,1952,45,25
107,1952,54,18
108,1952,60,15
109,1952,42,12
110,1952,135,10
111,1952,136,8
112,1952,137,6
113,1952,38,4
114,1952,99,2
115,1952,30,1
116,1952,63,18
117,1952,78,10
118,1952,81,8
119,1952,122,14
120,1952,3,1
121,1952,123,8
122,1952,121,31
123,1952,13,4
124,1952,14,1
125,1952,106,33
126,1952,116,8
127,1952,145,6
128,1952,146,4
129,1952,147,2
130,1952,24,8
131,1952,109,6
132,1953,5,141
133,1953,6,71
134,1953,105,17
135,1953,24,38
136,1953,66,34
137,1953,110,109
138,1953,65,14
139,1953,3,16
140,1953,161,2
141,1953,111,1
142,1953,4,104
143,1953,78,47
144,1953,63,57
145,1953,123,4
146,1953,107,10
147,1953,164,10
148,1953,121,9
149,1953,165,4
150,1953,112,2
151,1953,1,91
152,1953,22,6
153,1953,122,10
154,1953,69,2
155,1953,100,25
156,1953,135,18
157,1953,60,15
158,1953,42,15
159,1953,56,12
160,1953,39,12
161,1953,44,10
162,1953,172,8
163,1953,54,6
164,1953,140,6
165,1953,173,4
166,1953,35,2
167,1953,96,2
168,1953,46,2
169,1953,47,1
170,1953,163,8
171,1953,179,6
172,1953,180,6
173,1953,181,4
174,1953,25,1
175,1953,102,6
176,1953,183,2
177,1953,192,10
178,1953,160,4
179,1953,193,2
180,1954,110,91
181,1954,180,18
182,1954,1,177
183,1954,163,32
184,1954,194,46
185,1954,80,8
186,1954,3,14
187,1954,122,16
188,1954,22,28
189,1954,66,65
190,1954,107,16
191,1954,63,103
192,1954,83,12
193,1954,179,28
194,1954,4,18
195,1954,143,10
196,1954,65,14
197,1954,24,4
198,1954,181,23
199,1954,105,15
200,1954,16,1
201,1954,100,25
202,1954,136,18
203,1954,44,15
204,1954,45,12
205,1954,42,12
206,1954,87,10
207,1954,56,8
208,1954,177,6
209,1954,39,4
210,1954,51,4
211,1954,207,2
212,1954,178,1
213,1954,183,27
214,1954,161,8
215,1954,123,6
216,1954,64,17
217,1954,6,10
218,1954,121,9
219,1954,71,8
220,1954,102,4
221,1955,1,118
222,1955,107,75
223,1955,4,60
224,1955,111,16
225,1955,163,38
226,1955,121,53
227,1955,66,70
228,1955,180,37
229,1955,214,19
230,1955,3,4
231,1955,215,51
232,1955,110,15
233,1955,216,4
234,1955,196,7
235,1955,63,18
236,1955,181,23
237,1955,183,12
238,1955,194,27
239,1955,65,16
240,1955,179,6
241,1955,71,34
242,1955,219,6
243,1955,115,4
244,1955,122,2
245,1955,141,25
246,1955,35,18
247,1955,39,18
248,1955,47,15
249,1955,176,12
250,1955,37,10
251,1955,211,10
252,1955,89,8
253,1955,221,6
254,1955,210,4
255,1955,172,2
256,1955,40,1
257,1955,6,10
258,1955,25,8
259,1955,166,10
260,1955,182,2
261,1956,123,104
262,1956,111,18
263,1956,214,37
264,1956,107,93
265,1956,65,13
266,1956,6,18
267,1956,83,16
268,1956,121,84
269,1956,3,22
270,1956,180,25
271,1956,1,139
272,1956,110,16
273,1956,103,12
274,1956,231,13
275,1956,232,10
276,1956,218,8
277,1956,233,8
278,1956,235,19
279,1956,170,22
280,1956,204,14
281,1956,80,34
282,1956,64,4
283,1956,215,35
284,1956,40,25
285,1956,60,18
286,1956,177,15
287,1956,30,12
288,1956,61,10
289,1956,141,8
290,1956,241,6
291,1956,98,4
292,1956,137,2
293,1956,99,1
294,1956,216,14
295,1956,143,8
296,1956,203,15
297,1956,234,8
298,1956,24,6
299,1956,81,2
300,1957,1,136
301,1957,121,34
302,1957,166,15
303,1957,65,53
304,1957,63,10
305,1957,235,10
306,1957,214,8
307,1957,123,50
308,1957,250,29
309,1957,246,6
310,1957,107,89
311,1957,251,2
312,1957,234,1
313,1957,237,51
314,1957,180,52
315,1957,110,59
316,1957,66,22
317,1957,130,10
318,1957,16,8
319,1957,252,28
320,1957,253,4
321,1957,254,43
322,1957,249,19
323,1957,220,20
324,1957,60,25
325,1957,54,18
326,1957,136,15
327,1957,39,12
328,1957,89,10
329,1957,228,8
330,1957,175,6
331,1957,210,4
332,1957,241,2
333,1957,46,1
334,1957,80,2
335,1957,204,1
336,1957,260,6
337,1958,237,81
338,1958,110,140
339,1958,252,42
340,1958,267,36
341,1958,65,74
342,1958,232,8
343,1958,66,56
344,1958,130,67
345,1958,246,19
346,1958,268,1
347,1958,107,118
348,1958,121,37
349,1958,180,42
350,1958,220,38
351,1958,270,38
352,1958,254,20
353,1958,170,4
354,1958,183,2
355,1958,1,24
356,1958,166,6
357,1958,80,4
358,1958,204,2
359,1958,123,50
360,1958,276,14
361,1958,250,37
362,1958,136,25
363,1958,279,18
364,1958,228,15
365,1958,35,12
366,1958,54,10
367,1958,137,8
368,1958,177,6
369,1958,280,4
370,1958,140,2
371,1958,258,1
372,1958,269,8
373,1958,231,2
374,1958,45,1
375,1958,271,10
376,1958,186,8
377,1958,277,6
378,1958,264,4
379,1959,246,39
380,1959,220,110
381,1959,254,39
382,1959,289,22
383,1959,121,10
384,1959,270,71
385,1959,269,8
